text,label
"#FuegoCruzado 🗳 La historiadora y comunicadora Sayuri Loza analiza el debate vicepresidencial llevado a cabo el pasado domingo, organizado por el TSE, entre los candidatos Juan Pablo Velasco y Edman Lara.",1
"#ElXQDeLasNoticias ▶ El debate vicepresidencial organizado por el TSE terminó más marcado por las injurias que por las propuestas. RTP y Radio Deseo organizan un debate alternativo para este miércoles, que contará con una metolodogía diferente.",0
"APLP califica de fracaso debate vicepresidencial y pide que periodistas conduzcan el encuentro presidencial del domingo 12 https://estudio99.com.bo/aplp-califica-de-fracaso-debate-vicepresidencial-y-pide-que-periodistas-conduzcan-el-encuentro-presidencial-del-domingo-12/",0
"Tahuichi sobre el debate: “Hemos visto desnudos a los candidatos a vice, es lo que tenemos” https://correodelsur.com/politica/20251006/tahuichi-sobre-el-debate-hemos-visto-desnudos-a-los-candidatos-a-vice-es-lo-que-tenemos.html",0
"Ni en un debate político lo que menos se espera es cordialidad, es un espacio de enfrentamiento  planificado con anticipación, la debilidad  del oponente y la capacidad de sacar ventaja de ello, determinan al vencedor...bueno lo vieron...ya saben quién ganó.",1
"#AMUN | Arias sobre el debate vicepresidencial: “Ambos perdieron, perdió el país”. Lee la nota completa aquí 📎 https://amun.lapaz.bo/arias-sobre-el-debate-vicepresidencial-ambos-perdieron-perdio-el-pais/ . #LaPaz #GAMLP",0
"Francamente, más que lo que se ha dicho en ese debate, me preocupa la falta de consistencia del programa de gobierno de @tutoquiroga Si llega a ser gobierno y aplica ese programa, nos terminamos de ir al diablo. Te recomiendo que lo revises en detalle",0
"Este corrupto quiere ascender gente que no le corresponde para asi tambien tener a la pnp bajo control. Al caballazo sin debate, sin opinion de expertos. Menos mal que lo han parado.",0
"#BOLIVIA La Asociación Nacional de Periodistas de Bolivia acepta la invitación de RTP y Radio Deseo para ser parte del debate vicepresidencial alternativo que se llevará a cabo este miércoles por la noche.",1
"Dicen que el miercoles habra debate de los mismos en LPZ . Estaran frente a la machorra ,circo seguro. Por higiene mental JP no debe asistir grite quien grite. Se imaginan al OPA y la Machorra juntos contra JP?  Tomen previsiones y manden a rodar a esos indecentes.",0
"Deberían para el debate de los presidenciables modificar las reglas de juego. Los panelistas tienen que tener libertad de hacer preguntas  claras a los candidatos. El tiempo de respuesta 2 \ ", una vez respondidas ,se dá 1 minuto a cada candidato para hacer ? Al otro. Así avanzamos",1
"- @Rodrigo_PazP luego del debate de Lara: Ahora que historia me invento con semejan te 💩💩💩 Y zas cholita, sale la historia de los botínes que tiene por más de una década y que están echas mier..😂🤣",0
"‘Pensé que iba a ser difícil encontrar un peor vicepresidente de Choquehuanca’, Carlos Saavedra sobre el debate vicepresidencial entre JP y Lara #LaRazonPlus #LaRazonDigital #LaRazonDigital #Bolivia #Elecciones2025 #Debate #Lara #Velasco",0
"@ANBOLIVIA: TAHUICHI SOBRE EL DEBATE: ‘HEMOS VISTO DESNUDOS A ... https://anbolivia.blogspot.com/2025/10/tahuichi-sobre-el-debate-hemos-visto.html?spref=tw",0
"#LaPaz El senador Flores advirtió que si la Comisión de Constitución no debate esta semana la suspensión de vocales del TSE, el proyectista Vargas podrá pedir su tratamiento directo en el Pleno. #abyayalatv #prorroga #tsebolivia",0
"¿Qué estrategia desplegaron Lara y JP Velasco en el debate vicepresidencial? https://eju.tv/2025/10/que-estrategia-desplegaron-lara-y-jp-velasco-en-el-debate-vicepresidencial/ a través de @ejutv",1
"Se vio un Juan Pablo Velasco ‘acartonado’: ‘Perdió la oportunidad de clausurar el tema de los tuits’, señala analista. #LaRazonPlus #LaRazonDigital #LaRazonDigital #Bolivia #Elecciones2025 #Debate #Lara #Velasco",0
"Tahuichi sobre el debate: ‘hemos visto desnudos a los candidatos a vice, es lo que tenemos’ https://eju.tv/2025/10/tahuichi-sobre-el-debate-hemos-visto-desnudos-a-los-candidatos-a-vice-es-lo-que-tenemos/ a través de @ejutv",0
"Expertos analizan el desempeño de Lara: ‘Ayer la música la puso él’ #LaRazonPlus #LaRazonDigital #LaRazonDigital #Bolivia #Elecciones2025 #Debate #Lara #Velasco",1
"Para el proximo debate me gustaría sugerir al @TSEBolivia que seleccione temas útiles que sirvan para que la población efectivamente se entere qué proponen los candidatos y de qué modo van a cumplirlo. Los temas de ayer no tenían norte.",0
"El debate vicepresidencial se hizo al margen de la ‘espectacularización’ de la política #LaRazonPlus #LaRazonDigital #LaRazonDigital #Bolivia #Elecciones2025 #Debate #Lara #Velasco",1
"Que el cabeza de poto de  Cuéllar diga que Lara “dio cátedra” solo confirma que ambos desconocen lo que es un verdadero debate. Entre improvisados se entienden y bueno un masista defendiendo a Lara, ya sabemos por dónde va la cosa.",0
"Uno hablo sin sentido y atracando y el otro habló correcto pero no quedó una idea clara sobre su discurso. Creo, por lo que leo, que Lara salió mejor parado del debate. Pfffff",1
"Terminando el debate se la quitó, éso es lo peor.",0
"#NoticieroPopular 🗳Analista lamenta que en el debate vicepresidencial llevado a cabo este pasado domingo entre los candidatos Juan Pablo Velasco y Edman Lara hayan primado los ataques entre ambos en lugar de la presentación de propuestas para el país.",0
"#NoticieroPopular 🗳El vocal del TSE, Tahuichi Tahuichi, destaca el debate vicepresidencial llevado a cabo este pasado domingo, aunque admite algunas falencias que promete mejorar para el debate presidencial.",1
"#NoticieroPopular 🗳 Parlamentarios destacan la importancia del debate vicepresidencial alternativo que organiza RTP y Radio Deseo, que se llevará a cabo este miércoles en la noche. "Los candidatos deberían asistir por el bien de la democracia", afirman.",1
"Ganó alguien el debate? https://twitter.com/i/broadcasts/1ypJdqMWMmQxW",1
"#ANBNEws|#BreakingNews ESTOS SON LOS DOS CAMBIOS URGENTES QUE SUGIEREN PARA EL DEBATE PRESIDENCIAL #Bolivia|#ElAlto|#LaPaz",1
"donde el pensamiento crítico se diluye entre consignas vacías y actas prefabricadas. No hay debate, no hay reclamo, no hay escucha; solo hay sumisión. Recuerdo que durante las protestas del 11 de julio de 2021, el presidente del Tribunal Supremo declaró declaró ante la televisión",0
"Pienso igual,  JP pierde más yendo al debate/barricada con Galindo/Lara que faltando.",0
"#LaRazonPlus #LaRazonDigital #LaRazonDigital #Bolivia #noticias #Elecciones2025 #TribunalSupremoElectoral #SegundaVuelta2025",1
"FALTAN 14 DÍAS PARA EL BALOTAJE EN BOLIVIA Pasó el debate de Vicepresidenciables, demostraron que no estan preparado para ser Vicepresidente. Pocas propuesta por parte de #JPVelasco, y el otro se dedicó a insultar, acusar, no respetar las reglas. Muy bajo el nivel del debate",0
"Es bien curioso como cuando entro a los Spaces q hacen Edu o Ruben nos agarramos a debate, hay mucha discrepancia, no estamos d acuerdo casi en nada y aún así, dicen q estamos organizados, coordinados e incluso financiados Casualmente, los q nos acusan cuando hacen sus espacios para 50 personas siempre están coordinados, organizados y tienen un líder al q le copian los argumentos e incluso el vocabulario y se la chupan públicamente La gente no es tonta muchachos",0
"No sé qué debate vio el gordito, no sabe cómo quedar bien con ambos bandos.",0
"No se muy bien como explicarlo pero JP ayer estuvo todo el debate haciendo esta mirada",0
"El que la pasó bien en el debate fue @esgravesiempre hicieron muchos edits de su live en Tik Tok.",1
"Cómo es posible que éste cholo ignorante esté aspirando al segundo cargo más importante en el país? Qué hicimos mal como país, como sociedad? Tengo la esperanza que luego del debate haya quedado claro para todos los que desean el bien para Bolivia, por quién votar el domingo 19!",1
"Se viene el gran debate TUTO - PAZ ,ahi veremos cual es realmente capaz de tomar el control del pais.",1
"Que debate viste? Agarrarse del racismo como ventaja es patear al aire, que bien que no consideré votar por vos con esa perspectiva que tenés, te sigue doliendo las derrotas pero de verdad no estas a la altura de ser presi, no ni en su campaña pudo decir algo creíble",0
"Bolivision traro de darle al debate seriedad con sus panelistas. Bien x Coca,Zambrana. No puedo opinar lo mismo de GALINDE. Machorra con cara de ódio,desprecio,y analisis destilando mierda ,aparte de payasa en sus presentaciones. Por favor hnos paceños hagan algo esa y el opa 😡",0
"Que debate viste? Agarrarse del racismo como ventaja es patear al aire, que bien que no consideré votar por vos con esa perspectiva que tenés, te sigue doliendo las derrotas pero de verdad no estas a la altura de ser presi, no ni en su campaña pudo decir algo creíble",0
"Según el senador,  con el debate vicepresidencial quedó claro que el PDC representa a  grandes mayorías y “no a unas minorías que desprecian hasta el vendedor  ambulante”. https://correodelsur.com/politica/20251006/paz-destaca-la-cordura-de-lara-y-afirma-que-velasco-lo-discrimino-al-decirle-pajpaku.html a través de @correodelsurcom",1
"Lara fue a un careo y JP a un debate así no se puede pero quedó claro que Binomio tiene planes, para Bolivia 🇧🇴 el otro solo dice que en Bolivia sobra dinero 💰 siguen prometiendo cielo y tierra y no saben de donde saldrán los recursos",1
"Ahora ya sabemos tu postura política, te tenía en lo alto como analista político, al decir que ese opa doble gano el debate ,dejas claro que la patria es lo menos que te intereza",0
"🇧🇴 Bolivia merece un cambio radical. Después de ver el debate de candidatos a vicepresidente, me queda más claro que nunca: no podemos seguir atrapados en el pasado. #EsConTutoyJP",1
"Anoche quedó claro quién está preparado… y quién da vergüenza. Juan Pablo Velasco subió al debate con ideas, propuestas y liderazgo. Edman Lara llegó con gritos, insultos y contradicciones. Mientras uno hablaba del futuro, el otro convirtió el escenario en un basurero verbal. Porque cuando no hay ideas, aparece el odio. Y cuando el que practica la guerra sucia se victimiza… es porque ya no tiene argumentos. Bolivia no necesita agitadores con micrófono. Necesita líderes con respuestas. Y anoche, nos sentimos profundamente orgullosos de Juan Pablo Velasco: firme, claro, respetuoso, preparado. Como debe ser. Lara no debatió. Atacó. No respondió. Agredió. No propuso. Se desbordó. Como siempre. Lo vimos todos: Un joven líder al que da gusto escuchar… Y un candidato al que da vergüenza ver.",1
"Chicanero sin gracia ni respeto por los moderadores, sin la mínima de educación lo de Lara así todo el debate tirando mierda cuando había que proponer soluciones, esta claro que futuro esperanzador solo podemos encontrarlo con uno",1
"Del “debate” entre tonto, retonto y malos presentadores, sólo queda claro que hay que seguir investigando la estafa del banco Fassil y las expresiones racistas",0
